playername,elo
Jackies,1085.2014518490341
Dia1,1085.0437958753932
Nper,1084.6609336401607
Way,1084.0460583389402
Juhan,1083.50212218756
Fudge,1082.5836015537009
Cuzz,1082.5583569341966
Zinie,1082.1032243580519
Blank,1082.0322486446864
Licorice,1079.4915236103195
Aspire,1079.4620425427033
Zyko,1076.9922920293764
Xiaohao,1076.8497380848592
HiRit,1076.780192383774
Atlen,1076.7362753325879
Once,1076.3887935797159
Spica,1076.1994385256244
Caliste,1074.7869558066377
Rahel,1074.643613345976
Alex,1074.3658013627896
Leaper,1073.8058847836212
ScaryJerry,1072.9990707958978
Isles,1072.6122634363103
Parus,1072.1929287161663
DuDu,1071.3685643498652
BuLLDoG,1071.3496936871468
Qiang,1071.301364821139
Natur3,1071.0881730752774
Eddie,1069.312459503702
SkewMond,1069.2406036733178
Cryin,1068.9827525138924
Irrelevant,1068.7712914658782
ISMA,1068.2851613905907
Wink,1068.1990683190554
HARPOON,1067.9192622128924
Luon,1067.5486852223705
RKR,1067.153652592922
Andil,1067.128690810641
SlowQ,1067.0999455812746
bluerzor,1066.5387586646627
Casting,1066.4982906596817
Nisqy,1066.4438378111017
tyrin,1065.8859782833904
Kino,1065.5663499217383
Mission,1065.2222185789706
Dragku,1064.9967811005015
Leave,1063.986322376952
Coward,1063.7291495794882
Telas,1063.6426279504835
zorenous,1063.1111621839657
Hana,1062.750471881652
Guigs,1062.6015787716376
hachamecha,1062.3633271336225
Fireblade,1062.325745198897
Lurox,1062.293962467182
Recap,1062.1430796537409
SofM,1062.0432609494376
Maynter,1061.6714484407935
Czypsy,1060.8960206289037
Sudzzi,1060.8859308535905
Roison,1060.8677995202165
Neramin,1060.859819124637
Paz,1060.736576373816
Color,1060.627483226368
Sheiden,1060.3297825239051
Corporal,1060.2764022760473
Mihile,1060.0503596164554
Neo,1059.7309167372878
Kofte,1059.6659670435022
Nestea,1059.5563200819925
LP,1059.455213596362
Zamudo,1059.4077645021832
Melonik,1059.3587449972265
Keres,1059.3478827855479
Ycx,1059.143398177616
Qats,1058.6437351542133
Marvin,1058.56637313824
Carzzy,1058.2477532332334
Vetheo,1057.3276654418376
Meech,1056.9769524231601
Fun K3y,1056.5657914074689
Piero,1056.07187189546
Lime,1055.6582358398546
Bible,1055.1126157817764
Photon,1055.1001324591166
Blazes,1054.8442309571794
Erdote,1054.6009574338448
Tatu,1054.3416982628962
Yursan,1053.434340571531
Hylissang,1053.3380124611158
Bong,1053.198649263964
whiteinn,1053.1154273533364
Winsome,1053.1049230773951
JoJo,1052.7826673443042
ppgod,1052.393694065161
Tianzhen,1052.2707423642705
Lost,1052.0788456518449
Savero,1051.924124251807
destiny,1051.6825500945056
pr1me,1051.5641794811563
Carlsen,1050.659753592336
Jiejie,1050.3210415147776
Morttheus,1050.067881539844
Siwoo,1050.0201969335853
Sharvel,1049.9754556717814
Saint,1049.8872426203466
UNF0RGIVEN,1049.746483976307
1116,1049.7226040235269
Solokill,1048.9466037783525
Foreigner,1048.9401239533577
Jiwoo,1048.4388329441013
Babip,1048.3133225300246
LokeN,1047.686516694899
Sylvie,1047.4658474731193
Bradley,1047.2732523743662
PandaC,1047.1623090731223
Zzk,1047.1509814170581
Array,1047.1153520682453
Iwandy,1046.8369497378994
sajed,1046.7300065735724
Chime,1046.5960804114072
Enty,1046.4180499899521
Hery,1046.1469272105019
Hanabi,1045.94194077693
QiuQiu,1045.3001123312824
Arrow,1044.9756309709046
Srtty,1044.9748117494207
Palette,1044.8521146415194
Angel,1044.5346216129499
Hoon,1044.1926037077492
Cube,1043.9160557618566
Shad0w,1043.7716472754466
Starry,1043.7574107151254
Mark,1043.5044133407564
Loopy,1043.0926043124755
Jackspektra,1042.9684635782821
DenVoksne,1042.6934704760652
xiaofang,1042.5722275196406
Wiz,1042.5609312648423
Venour,1042.5360092988924
TolanD,1042.2577903279725
Robo,1041.7377259842688
Dhokla,1041.4385943758307
FoFo,1041.359170183695
hulatang,1041.3566490415062
Croc,1041.2197712418013
VicLa,1041.1983647097782
Kasing,1041.1179557805049
sarolu,1040.8803436880557
FBI,1040.857504708302
Revenge,1040.8159651808448
Palafox,1040.806859795007
Diamond,1040.7583675438493
Crownie,1040.6792845487632
Kongyue,1040.6492671510155
Ayu,1040.5083592255564
Pyshiro,1040.5035854127048
Contractz,1040.1943777421598
Fisher,1040.1360134552249
Route,1039.5054989909254
Tutsz,1039.4733715244934
Diplex,1039.0795124712781
Sertuss,1038.8870582054478
Fleshy,1038.866071969593
