playername,position,kills,deaths,assists,dpm,damageshare,wardsplaced,wpm,visionscore,vspm,totalgold,earnedgold,earned gpm,damagetochampions,minionkills,monsterkills,result,win_percent
225,sup,0.0,2.0,13.5,169.93095,0.06572885,46.0,1.80585,82.5,3.2312000000000003,6869.0,3443.0,133.1225,4270.5,30.5,1.0,1.0,0.0
225,top,3.0,5.0,3.0,590.6402,0.204104,23.0,1.0155,45.0,1.9868,6653.0,3605.0,159.1611,13378.0,41.0,2.0,0.0,0.0
2Axes,bot,2.8874999999999997,2.625,3.2375,628.73555,0.1915802875,7.9624999999999995,0.3704625,18.112499999999997,0.826175,8839.162499999999,6036.362499999999,275.9331625,14116.287499999999,151.8125,13.825,0.375,0.0
2T,top,2.4,4.9,2.65,492.351415,0.2289044,15.25,0.49779,33.0,1.0532949999999999,11186.55,7163.25,229.86977499999998,15731.25,229.75,9.65,0.0,0.0
369,top,2.5659574468085107,2.1319148936170214,5.54468085106383,521.0252791489362,0.2081952821276596,10.902127659574468,0.35777914893617024,30.4,0.992164255319149,11860.489361702128,7880.561702127659,261.69731872340424,15802.574468085106,233.85531914893616,9.97872340425532,0.7319148936170212,0.7319148936170212
3XA,bot,4.121951219512195,2.426829268292683,4.719512195121951,613.8925256097561,0.27756313414634143,17.914634146341463,0.5559536585365854,50.170731707317074,1.5454219512195122,14374.280487804877,10190.463414634147,318.01255,20083.914634146342,290.5609756097561,19.463414634146343,0.45121951219512196,0.45121951219512196
42 Nuker,jng,2.2166666666666663,5.016666666666667,3.85,448.1434,0.11381894999999999,5.483333333333333,0.21801666666666666,21.816666666666663,0.9148333333333333,8282.75,5121.783333333333,210.76426666666666,10798.9,12.483333333333333,135.79999999999998,0.0,0.0
4ever,jng,3.0833333333333335,4.333333333333333,6.5,358.99349166666667,0.15044535,10.75,0.37555,35.25,1.2220583333333332,8978.833333333334,5361.166666666667,192.61965,9928.166666666666,25.333333333333332,105.25,0.3333333333333333,0.0
5K,top,2.0476190476190474,2.119047619047619,4.376190476190476,500.5149537414966,0.1556429776190476,6.942857142857142,0.32074285714285716,19.819047619047616,0.903674149659864,8420.466666666665,5573.466666666666,256.46637142857145,10925.35238095238,164.43809523809523,5.719047619047618,0.4897959183673469,0.0
5t5,jng,2.9555555555555553,2.7999999999999994,6.533333333333333,466.2103,0.12590196888888888,8.71111111111111,0.36433333333333334,33.833333333333336,1.4301666666666666,8491.31111111111,5403.377777777777,225.6876111111111,11456.666666666666,23.488888888888887,121.72222222222223,0.2222222222222222,0.0
665,jng,3.2526315789473683,4.052631578947368,7.91578947368421,463.93944842105265,0.16170541578947367,12.610526315789473,0.42755789473684214,43.28421052631579,1.459106315789474,10429.22105263158,6543.115789473684,224.74564210526316,13648.726315789474,22.673684210526314,148.06315789473683,0.5052631578947369,0.5052631578947369
6zc,jng,1.711111111111111,1.3999999999999997,5.833333333333333,275.7825333333333,0.0864765611111111,8.399999999999999,0.4082,39.355555555555554,1.9087555555555555,7074.7444444444445,4368.777777777777,220.29514444444442,5427.488888888888,19.133333333333333,87.88888888888887,0.5555555555555556,0.0
6zc,top,2.6599999999999997,2.0999999999999996,3.3599999999999994,380.05908,0.12387227999999999,7.9799999999999995,0.35,33.17999999999999,1.45962,7830.479999999999,4856.6,209.03966,9107.98,108.21999999999998,37.519999999999996,0.4,0.0
705,top,1.5855421686746987,1.8132530120481927,3.6686746987951806,430.3377987951807,0.13649208072289157,9.867469879518072,0.4344397590361446,25.225301204819274,1.095321686746988,8405.262650602408,5410.806024096385,235.88311325301206,9899.307228915663,165.06506024096385,5.0771084337349395,0.5421686746987951,0.0
781,top,1.3888888888888888,2.7777777777777777,2.4444444444444446,361.8801888888889,0.21312835,9.88888888888889,0.37804444444444446,20.055555555555557,0.7708666666666667,8619.722222222223,5230.666666666667,203.33524444444444,9454.833333333334,183.88888888888889,3.0555555555555554,0.1111111111111111,0.1111111111111111
7copy,bot,2.418181818181818,1.9727272727272727,3.627272727272727,416.3139545454545,0.12607343636363635,6.363636363636363,0.2837818181818182,19.98181818181818,0.8879909090909092,9572.881818181819,6599.790909090909,291.71652727272726,9607.372727272726,192.88181818181818,15.463636363636363,0.5454545454545454,0.0
999,top,1.3695652173913044,2.3130434782608695,2.434782608695652,421.5354782608695,0.15267295217391302,5.630434782608695,0.2729913043478261,20.08695652173913,0.9776086956521739,7607.965217391304,4901.765217391304,236.38320434782608,8765.85652173913,159.87391304347827,4.321739130434782,0.2608695652173913,0.0
9God,jng,3.0,4.5,3.0,360.02115000000003,0.1807515,7.5,0.30185,30.5,1.2205,8297.5,4871.5,185.9903,9128.0,10.0,128.5,0.0,0.0
A Bee,sup,0.95,2.35,5.75,245.36568571428572,0.059364309999999997,23.699999999999996,1.1717285714285715,50.4,2.4973,5513.3,2834.65,137.72092857142857,5035.5,42.5,0.0,0.42857142857142855,0.0
ACD,top,1.75,2.577272727272727,3.4045454545454543,561.3699909090909,0.1728002818181818,9.418181818181818,0.43245,24.94545454545454,1.1323681818181817,8434.80909090909,5594.4,255.27893181818183,12267.118181818181,162.24090909090907,5.281818181818181,0.5,0.0
ADD,top,1.7027027027027024,2.345945945945946,3.708108108108108,566.7179945945946,0.1704634135135135,8.683783783783783,0.39974324324324323,26.997297297297298,1.2362189189189188,8387.135135135135,5554.291891891891,258.5191972972973,12163.937837837837,158.76756756756757,8.418918918918918,0.4864864864864865,0.0
AHaHaCiK,jng,1.558064516129032,2.551612903225806,5.837096774193548,374.3200806451613,0.11037046209677419,8.253225806451614,0.36245483870967743,33.08064516129032,1.4543774193548389,7449.1290322580635,4475.608064516128,197.60227903225805,8588.875806451611,17.172580645161286,94.96290322580644,0.5,0.0
AMI Lojazz,jng,1.0499999999999998,2.45,3.8499999999999996,423.1261,0.136924655,5.949999999999999,0.27315,29.4,1.3537,6649.65,3811.5,177.24025,8638.0,10.5,111.29999999999998,0.0,0.0
ANDARIEL,bot,2.573529411764706,1.8735294117647057,2.6970588235294115,546.8576235294117,0.17318026764705882,7.947058823529411,0.3609470588235294,25.158823529411762,1.128235294117647,9322.826470588234,6427.852941176469,289.9031058823529,12145.473529411764,190.9764705882353,8.770588235294117,0.20588235294117646,0.0
AOE Wilson,jng,1.0499999999999998,3.5,2.0999999999999996,361.3084,0.12566295,5.949999999999999,0.3385,20.299999999999997,1.1833,5203.799999999999,2900.8,167.8284,6109.25,12.25,81.9,0.0,0.0
APA,mid,3.3926553672316384,2.23728813559322,4.830508474576271,682.5916079096046,0.2478318638418079,13.72372881355932,0.4806881355932203,37.42033898305085,1.3217107344632768,12034.867231638418,8416.718079096045,304.29157005649716,19166.626553672315,237.74237288135595,9.798870056497174,0.6101694915254238,0.6060606060606061
Aang,bot,1.9727272727272724,2.4818181818181815,3.8818181818181814,453.2555363636364,0.1252252909090909,5.536363636363635,0.2587,13.109090909090908,0.6069181818181818,8142.972727272727,5302.6909090909085,248.6296,9702.0,150.94545454545454,3.9454545454545453,0.5454545454545454,0.0
Abbedagge,mid,3.5981481481481477,2.2296296296296294,5.67037037037037,732.2153074074075,0.2329418074074074,12.025925925925925,0.4364166666666667,35.859259259259254,1.2933407407407407,11844.177777777777,8208.962962962964,298.6886259259259,20265.355555555554,229.86111111111111,9.851851851851851,0.6111111111111112,0.4827586206896552
Ablazeolive,mid,2.5346153846153845,2.3057692307692306,3.507692307692307,736.6331173076923,0.2183192826923077,8.542307692307691,0.3588038461538462,26.559615384615384,1.0906653846153846,9853.526923076923,6674.625,278.33555192307693,17767.1,206.90192307692308,6.451923076923077,0.4423076923076923,0.18181818181818182
Able,bot,3.605095541401274,2.5031847133757963,4.745222929936306,641.5570859872611,0.2887971337579618,14.987261146496815,0.4836445859872611,50.853503184713375,1.6167254777070064,13855.171974522293,9778.64331210191,313.35354012738856,20474.1974522293,280.97452229299364,16.94267515923567,0.5159235668789809,0.5159235668789809
About,bot,2.577272727272727,2.3227272727272723,3.6909090909090905,692.9842613636364,0.20245030909090908,11.168181818181818,0.5221431818181818,32.9,1.5161727272727274,9251.677272727273,6431.170454545455,298.3520863636364,15336.379545454545,183.7022727272727,8.909090909090908,0.38636363636363635,0.0
About,top,2.0999999999999996,2.8,2.8,667.88725,0.23345280000000002,7.35,0.36824999999999997,18.549999999999997,0.8824500000000001,7990.5,5422.9,266.67224999999996,14183.4,166.95,2.0999999999999996,0.0,0.0
Abyss,jng,1.6666666666666667,4.5,2.6666666666666665,400.4013,0.18515433333333334,6.666666666666667,0.26489999999999997,31.166666666666668,1.2192166666666666,8099.833333333333,4712.666666666667,183.81475,10377.333333333334,24.166666666666668,128.33333333333334,0.0,0.0
Accez,jng,1.9027777777777777,4.0,5.891666666666667,268.28009722222225,0.11995297055555557,15.247222222222222,0.4601138888888889,54.88055555555556,1.6577111111111111,10412.019444444444,6116.544444444445,187.7322861111111,8939.21111111111,31.297222222222224,140.10277777777776,0.2777777777777778,0.0
Acee,mid,2.5961538461538463,2.769230769230769,4.480769230769231,567.6023730769231,0.2699588201923077,13.028846153846153,0.42748365384615383,35.69230769230769,1.1458682692307691,11381.961538461539,7406.25,240.75298846153845,17684.33653846154,242.8846153846154,6.538461538461538,0.20192307692307693,0.0
Ackerman,sup,1.0,3.25,6.0,290.16632500000003,0.1552549,48.25,1.773225,91.5,3.33305,6596.0,2949.75,106.1768,8473.0,39.5,0.0,0.0,0.0
