playername,kills,deaths,assists,dpm,damageshare,wardsplaced,wpm,visionscore,vspm,totalgold,earnedgold,earned gpm,damagetochampions,minionkills,monsterkills,result,win_percent,elo,position_bot,position_jng,position_mid,position_sup,position_top,performance_score
0909,2.290625,1.940625,3.7875,594.2364,0.1986161625,9.653125,0.40958125,27.509375,1.17474375,9202.7875,6224.784374999999,274.176184375,13712.584375,192.609375,5.009375,0.4375,0.4,1004.7116978179096,False,False,True,False,False,982.1210025352984
0din,1.718181818181818,2.7363636363636363,4.454545454545454,450.29829090909095,0.1326668954545454,10.309090909090909,0.4504545454545454,26.40909090909091,1.1205181818181815,8784.3,5738.727272727273,245.49818181818185,11259.436363636363,181.2363636363636,1.8454545454545448,0.3636363636363636,0.0,992.970033722866,False,False,True,False,False,918.7699051017263
1024,0.8909090909090908,2.545454545454545,1.7818181818181815,289.0157,0.1214451254545454,4.072727272727272,0.2200636363636363,14.254545454545452,0.7144272727272727,6502.172727272727,3949.0818181818177,198.5945090909091,5734.527272727272,135.22727272727272,4.072727272727272,0.1818181818181818,0.0,980.3101316390924,False,False,False,False,True,748.8898716899356
10IQ,3.5,2.8,2.1,493.6132,0.1917719999999999,7.0,0.3403,21.7,1.055,8731.099999999999,6020.7,292.717,10152.8,177.1,2.8,0.0,0.0,997.1114915725426,True,False,False,False,False,910.3066522997324
10ng,1.5076923076923074,1.992307692307692,4.4692307692307685,446.8269384615385,0.1473752323076922,4.9,0.2245307692307692,24.23076923076923,1.0331461538461535,8502.9,5489.076923076923,241.6920923076923,10773.861538461537,177.85384615384615,7.376923076923076,0.5384615384615384,0.0,1003.2559912874268,False,False,True,False,False,906.16154109547
1116,3.308411214953271,2.457943925233645,6.5046728971962615,671.410474766355,0.279398214953271,13.878504672897195,0.4387551401869159,39.65420560747664,1.2320495327102805,12738.59813084112,8577.971962616823,272.7697953271028,21430.66355140187,258.38317757009344,10.373831775700934,0.514018691588785,0.514018691588785,1049.7226040235269,False,False,True,False,False,1230.245560254168
113,2.030337078651685,3.091011235955056,7.037078651685393,395.5555943820225,0.1297884691011236,7.598876404494382,0.2856179775280899,34.880898876404494,1.2988044943820225,8782.840449438201,5298.652808988763,202.1517696629213,10271.323595505615,18.274157303370785,113.9056179775281,0.5393258426966292,0.4047619047619047,1037.8494391894023,False,True,False,False,False,912.9296076571746
1Blue,1.6923076923076923,3.692307692307693,2.4615384615384617,509.38731538461536,0.2732837692307692,7.153846153846154,0.2487615384615384,27.692307692307693,0.9532615384615384,10556.46153846154,6804.769230769231,232.7832307692308,14663.692307692309,224.0,14.307692307692308,0.2307692307692307,0.0,967.525900636034,False,False,False,False,True,1010.3900463859512
1Jiang,3.402061855670103,2.268041237113402,4.443298969072165,580.1565298969073,0.2212793773195876,12.948453608247425,0.4073484536082474,34.54639175257732,1.0778577319587628,12816.39175257732,8660.773195876289,276.39609587628865,18192.43298969072,254.8041237113402,9.237113402061857,0.6082474226804123,0.6082474226804123,1278.7100052017051,False,False,False,False,True,1289.3289255884954
1xn,3.625625,1.928125,4.4775,657.988795,0.26494452125,14.320625,0.472406875,42.630625,1.42627,12917.765,9104.416875,316.048114375,19317.14375,262.405625,14.5775,0.48125,0.4403669724770642,1155.2953233837443,True,False,False,False,False,1262.1511171508487
